matchScore,rating,completedJobs,responseTime,success
1,4.8,25,1,1
0.9,4.5,20,2,1
0.8,4.2,15,3,1
0.7,4.0,12,3,1
0.6,3.8,10,4,1
0.5,3.5,8,5,0
0.4,3.2,6,6,0
0.3,3.0,5,7,0
0.2,2.8,3,8,0
0.1,2.5,2,9,0
1,4.9,30,1,1
0.85,4.6,22,2,1
0.75,4.1,14,3,1
0.65,3.9,11,4,1
0.55,3.6,9,5,0
0.45,3.3,7,6,0
0.35,3.1,6,7,0
0.25,2.9,4,8,0
0.15,2.6,3,9,0
0.05,2.4,1,10,0
0.95,4.7,28,1,1
0.88,4.4,21,2,1
0.78,4.2,16,3,1
0.68,3.9,13,4,1
0.58,3.7,10,5,0
0.48,3.4,8,6,0
0.38,3.2,6,7,0
0.28,3.0,5,8,0
0.18,2.7,3,9,0
0.08,2.5,2,10,0
